seq0 seq1 length score
serrano84 amypro0 208 (4.0)
serrano85 amypro0 199 (22.0)
serrano86 amypro0 199 (10.0)
serrano87 amypro0 199 (9.5)
serrano88 amypro0 199 (10.0)
serrano89 amypro0 199 (16.0)
serrano90 amypro0 199 (16.0)
serrano91 amypro0 199 (11.5)
serrano92 amypro0 199 (8.0)
serrano93 amypro0 199 (5.0)
serrano94 amypro0 199 (12.0)
serrano95 amypro0 201 (12.5)
serrano96 amypro0 199 (13.0)
serrano97 amypro0 199 (13.0)
serrano98 amypro0 199 (20.0)
serrano99 amypro0 199 (16.0)
serrano100 amypro0 203 (20.0)
serrano101 amypro0 205 (12.0)
serrano102 amypro0 199 (14.0)
serrano103 amypro0 199 (15.0)
serrano104 amypro0 199 (13.0)
serrano105 amypro0 199 (13.0)
serrano106 amypro0 199 (12.0)
serrano107 amypro0 204 (10.0)
serrano108 amypro0 199 (9.0)
serrano109 amypro0 199 (11.0)
serrano110 amypro0 199 (11.0)
serrano111 amypro0 199 (9.0)
serrano112 amypro0 199 (11.0)
serrano113 amypro0 199 (8.0)
serrano114 amypro0 199 (8.0)
serrano115 amypro0 199 (8.0)
serrano116 amypro0 202 (15.0)
serrano117 amypro0 199 (6.0)
serrano118 amypro0 200 (5.0)
serrano119 amypro0 199 (10.0)
serrano120 amypro0 199 (9.0)
serrano121 amypro0 199 (12.0)
serrano122 amypro0 199 (10.0)
serrano123 amypro0 199 (10.0)
serrano124 amypro0 199 (13.0)
serrano125 amypro0 199 (10.0)
serrano126 amypro0 199 (7.0)
serrano127 amypro0 199 (11.0)
serrano128 amypro0 199 (7.0)
serrano129 amypro0 199 (10.0)
serrano130 amypro0 199 (17.0)
serrano131 amypro0 208 (9.0)
serrano132 amypro0 200 (15.5)
serrano133 amypro0 199 (28.0)
serrano134 amypro0 199 (22.0)
serrano135 amypro0 199 (10.0)
serrano136 amypro0 201 (11.5)
serrano137 amypro0 199 (8.0)
serrano138 amypro0 204 (23.0)
serrano139 amypro0 199 (4.0)
serrano140 amypro0 212 (7.0)
serrano141 amypro0 199 (20.5)
serrano142 amypro0 199 (20.5)
serrano143 amypro0 199 (21.5)
serrano144 amypro0 199 (24.5)
serrano145 amypro0 199 (7.0)
serrano146 amypro0 199 (11.0)
serrano147 amypro0 199 (16.0)
serrano148 amypro0 199 (9.0)
serrano149 amypro0 200 (15.0)
serrano150 amypro0 199 (19.0)
serrano151 amypro0 199 (13.0)
serrano152 amypro0 199 (13.5)
serrano153 amypro0 200 (20.0)
serrano154 amypro0 201 (20.5)
serrano155 amypro0 199 (15.5)
serrano156 amypro0 200 (14.0)
serrano157 amypro0 200 (10.0)
serrano158 amypro0 205 (4.5)
serrano159 amypro0 199 (17.0)
serrano160 amypro0 199 (14.0)
serrano161 amypro0 199 (20.0)
serrano162 amypro0 205 (9.5)
serrano163 amypro0 199 (13.0)
serrano164 amypro0 199 (17.0)
serrano165 amypro0 199 (15.5)
serrano166 amypro0 199 (21.5)
serrano167 amypro0 199 (12.0)
serrano168 amypro0 199 (13.5)
serrano169 amypro0 199 (16.5)
serrano170 amypro0 199 (21.5)
serrano171 amypro0 207 (11.0)
serrano172 amypro0 199 (14.0)
serrano173 amypro0 204 (11.0)
serrano174 amypro0 199 (11.0)
serrano175 amypro0 201 (8.5)
serrano176 amypro0 199 (8.0)
serrano177 amypro0 199 (12.0)
serrano178 amypro0 199 (15.0)
serrano179 amypro0 199 (13.0)
serrano180 amypro0 199 (10.0)
serrano181 amypro0 199 (6.0)
serrano182 amypro0 199 (5.0)
serrano183 amypro0 199 (10.0)
serrano184 amypro0 199 (7.0)
serrano185 amypro0 199 (12.0)
serrano186 amypro0 199 (17.0)
serrano187 amypro0 199 (17.0)
serrano188 amypro0 199 (18.0)
serrano189 amypro0 201 (10.5)
serrano190 amypro0 199 (10.5)
serrano191 amypro0 199 (16.0)
serrano192 amypro0 199 (17.0)
serrano193 amypro0 205 (10.5)
serrano194 amypro0 200 (9.0)
serrano195 amypro0 200 (12.0)
serrano196 amypro0 199 (12.0)
serrano197 amypro0 199 (18.0)
serrano198 amypro0 199 (15.0)
serrano199 amypro0 199 (15.0)
serrano200 amypro0 199 (10.0)
serrano201 amypro0 199 (11.0)
serrano202 amypro0 199 (14.0)
serrano203 amypro0 199 (11.0)
serrano204 amypro0 206 (7.0)
serrano205 amypro0 199 (11.0)
serrano206 amypro0 199 (8.0)
serrano207 amypro0 200 (10.0)
serrano208 amypro0 201 (15.5)
serrano209 amypro0 200 (12.0)
serrano210 amypro0 200 (5.0)
serrano211 amypro0 199 (12.0)
serrano212 amypro0 199 (13.0)
serrano213 amypro0 199 (11.0)
serrano214 amypro0 199 (19.0)
serrano215 amypro0 199 (11.0)
serrano216 amypro0 199 (6.0)
serrano217 amypro0 199 (11.0)
serrano218 amypro0 199 (8.0)
serrano219 amypro0 201 (9.5)
serrano220 amypro0 204 (10.0)
serrano221 amypro0 199 (26.5)
serrano222 amypro0 199 (27.0)
serrano223 amypro0 199 (15.0)
serrano224 amypro0 199 (12.0)
serrano225 amypro0 199 (9.0)
serrano226 amypro0 199 (11.0)
serrano227 amypro0 204 (10.0)
serrano228 amypro0 199 (10.0)
serrano229 amypro0 202 (15.0)
serrano230 amypro0 199 (16.0)
serrano231 amypro0 200 (15.0)
serrano232 amypro0 199 (10.0)
serrano233 amypro0 202 (12.5)
serrano234 amypro0 199 (11.0)
serrano235 amypro0 199 (20.0)
serrano236 amypro0 199 (14.0)
serrano237 amypro0 199 (11.0)
serrano238 amypro0 199 (11.0)
serrano239 amypro0 199 (9.0)
serrano240 amypro0 199 (8.0)
serrano241 amypro0 199 (11.0)
serrano242 amypro0 200 (12.0)
serrano243 amypro0 207 (6.0)
serrano244 amypro0 199 (18.0)
serrano245 amypro0 199 (13.5)
serrano246 amypro0 199 (14.0)
serrano247 amypro0 199 (14.0)
serrano0 amypro1 209 (6.5)
serrano1 amypro1 207 (4.0)
serrano2 amypro1 211 (8.5)
serrano3 amypro1 207 (4.0)
serrano4 amypro1 227 (12.5)
serrano5 amypro1 218 (16.5)
serrano6 amypro1 212 (12.0)
serrano7 amypro1 217 (22.0)
serrano8 amypro1 245 (3.0)
serrano9 amypro1 207 (9.0)
serrano10 amypro1 212 (9.0)
serrano11 amypro1 207 (9.0)
serrano12 amypro1 208 (22.0)
serrano13 amypro1 207 (9.0)
serrano14 amypro1 212 (5.0)
serrano15 amypro1 212 (11.0)
serrano16 amypro1 207 (10.0)
serrano17 amypro1 207 (14.0)
serrano18 amypro1 207 (12.0)
serrano19 amypro1 214 (2.0)
serrano20 amypro1 207 (14.0)
serrano21 amypro1 223 (2.0)
serrano22 amypro1 215 (12.0)
serrano23 amypro1 212 (12.0)
serrano24 amypro1 210 (6.0)
serrano25 amypro1 207 (8.0)
serrano26 amypro1 207 (11.0)
serrano27 amypro1 207 (12.0)
serrano28 amypro1 207 (15.0)
serrano29 amypro1 209 (14.0)
serrano30 amypro1 207 (12.0)
serrano31 amypro1 207 (11.0)
serrano32 amypro1 207 (14.0)
serrano33 amypro1 207 (13.0)
serrano34 amypro1 209 (12.5)
serrano35 amypro1 207 (11.0)
serrano36 amypro1 207 (11.0)
serrano37 amypro1 210 (12.0)
serrano38 amypro1 207 (9.0)
serrano39 amypro1 207 (11.0)
serrano40 amypro1 207 (11.0)
serrano41 amypro1 207 (14.0)
serrano42 amypro1 210 (12.0)
serrano43 amypro1 210 (14.0)
serrano44 amypro1 210 (11.0)
serrano45 amypro1 215 (6.5)
serrano46 amypro1 211 (10.5)
serrano47 amypro1 207 (12.0)
serrano48 amypro1 207 (10.0)
serrano49 amypro1 207 (9.0)
serrano50 amypro1 207 (10.0)
serrano51 amypro1 207 (6.0)
serrano52 amypro1 207 (11.0)
serrano53 amypro1 207 (6.0)
serrano54 amypro1 207 (21.0)
serrano55 amypro1 207 (10.0)
serrano56 amypro1 214 (9.0)
serrano57 amypro1 208 (16.0)
serrano58 amypro1 207 (21.0)
serrano59 amypro1 208 (12.0)
serrano60 amypro1 209 (17.0)
serrano61 amypro1 208 (9.0)
serrano62 amypro1 207 (12.0)
serrano63 amypro1 208 (15.0)
serrano64 amypro1 207 (7.0)
serrano65 amypro1 207 (11.0)
serrano66 amypro1 214 (9.0)
serrano67 amypro1 207 (14.5)
serrano68 amypro1 207 (16.0)
serrano69 amypro1 210 (15.0)
serrano70 amypro1 209 (13.5)
serrano71 amypro1 207 (15.0)
serrano72 amypro1 210 (9.0)
serrano73 amypro1 209 (20.5)
serrano74 amypro1 213 (10.0)
serrano75 amypro1 221 (6.0)
serrano76 amypro1 207 (8.0)
serrano77 amypro1 207 (13.0)
serrano78 amypro1 207 (12.0)
serrano79 amypro1 207 (13.0)
serrano80 amypro1 207 (9.0)
serrano81 amypro1 207 (13.0)
serrano82 amypro1 207 (11.0)
serrano83 amypro1 213 (9.5)
serrano84 amypro1 207 (12.0)
serrano85 amypro1 207 (9.0)
serrano86 amypro1 207 (11.0)
serrano87 amypro1 207 (22.0)
serrano88 amypro1 207 (12.0)
serrano89 amypro1 207 (20.0)
serrano90 amypro1 207 (7.0)
serrano91 amypro1 207 (14.5)
serrano92 amypro1 207 (11.0)
serrano93 amypro1 207 (8.0)
serrano94 amypro1 207 (10.0)
serrano95 amypro1 207 (10.0)
serrano96 amypro1 207 (15.0)
serrano97 amypro1 207 (18.0)
serrano98 amypro1 207 (12.0)
serrano99 amypro1 209 (9.0)
serrano100 amypro1 207 (9.0)
serrano101 amypro1 207 (15.0)
serrano102 amypro1 209 (9.5)
serrano103 amypro1 207 (14.0)
serrano104 amypro1 207 (8.0)
serrano105 amypro1 207 (15.0)
serrano106 amypro1 207 (12.0)
serrano107 amypro1 207 (14.0)
serrano108 amypro1 207 (14.0)
serrano109 amypro1 207 (17.0)
serrano110 amypro1 207 (6.0)
serrano111 amypro1 207 (8.0)
serrano112 amypro1 207 (12.0)
serrano113 amypro1 208 (14.0)
serrano114 amypro1 207 (7.0)
serrano115 amypro1 207 (11.0)
serrano116 amypro1 207 (6.0)
serrano117 amypro1 207 (12.0)
serrano118 amypro1 209 (11.5)
serrano119 amypro1 208 (12.0)
serrano120 amypro1 209 (10.5)
serrano121 amypro1 207 (17.0)
serrano122 amypro1 207 (15.0)
serrano123 amypro1 210 (11.0)
serrano124 amypro1 207 (10.0)
serrano125 amypro1 207 (11.0)
serrano126 amypro1 207 (13.0)
serrano127 amypro1 207 (13.0)
serrano128 amypro1 207 (7.0)
serrano129 amypro1 207 (14.0)
serrano130 amypro1 207 (16.0)
serrano131 amypro1 218 (13.0)
serrano132 amypro1 216 (22.0)
serrano133 amypro1 207 (10.0)
serrano134 amypro1 209 (7.5)
serrano135 amypro1 207 (11.0)
serrano136 amypro1 219 (14.0)
serrano137 amypro1 207 (15.0)
serrano138 amypro1 214 (10.0)
serrano139 amypro1 207 (11.0)
serrano140 amypro1 211 (11.5)
serrano141 amypro1 207 (9.0)
serrano142 amypro1 207 (9.0)
serrano143 amypro1 207 (21.0)
serrano144 amypro1 207 (25.5)
serrano145 amypro1 207 (15.0)
serrano146 amypro1 207 (12.0)
serrano147 amypro1 207 (16.0)
serrano148 amypro1 207 (13.0)
serrano149 amypro1 207 (14.0)
serrano150 amypro1 207 (17.0)
serrano151 amypro1 207 (14.0)
serrano152 amypro1 207 (12.0)
serrano153 amypro1 207 (15.0)
serrano154 amypro1 209 (12.5)
serrano155 amypro1 207 (7.0)
serrano156 amypro1 207 (29.0)
serrano157 amypro1 210 (11.5)
serrano158 amypro1 207 (9.0)
serrano159 amypro1 209 (9.5)
serrano160 amypro1 207 (11.5)
serrano161 amypro1 207 (19.5)
serrano162 amypro1 208 (12.5)
serrano163 amypro1 207 (20.0)
serrano164 amypro1 207 (7.0)
serrano165 amypro1 207 (30.0)
serrano166 amypro1 207 (8.0)
serrano167 amypro1 207 (8.0)
serrano168 amypro1 207 (19.0)
serrano169 amypro1 207 (9.0)
serrano170 amypro1 207 (14.0)
serrano171 amypro1 207 (16.0)
serrano172 amypro1 207 (19.5)
serrano173 amypro1 211 (15.5)
serrano174 amypro1 207 (15.0)
serrano175 amypro1 208 (11.0)
serrano176 amypro1 207 (17.5)
serrano177 amypro1 207 (14.0)
serrano178 amypro1 207 (13.0)
serrano179 amypro1 207 (16.0)
serrano180 amypro1 207 (22.0)
serrano181 amypro1 207 (7.0)
serrano182 amypro1 209 (1.5)
serrano183 amypro1 207 (3.0)
serrano184 amypro1 207 (14.0)
serrano185 amypro1 207 (7.0)
serrano186 amypro1 207 (13.0)
serrano187 amypro1 207 (22.0)
serrano188 amypro1 207 (14.0)
serrano189 amypro1 207 (16.0)
serrano190 amypro1 207 (14.0)
serrano191 amypro1 207 (20.0)
serrano192 amypro1 207 (12.0)
serrano193 amypro1 207 (11.0)
serrano194 amypro1 207 (10.0)
serrano195 amypro1 207 (9.0)
serrano196 amypro1 207 (15.0)
serrano197 amypro1 207 (14.0)
serrano198 amypro1 207 (10.0)
serrano199 amypro1 207 (10.5)
serrano200 amypro1 207 (15.0)
serrano201 amypro1 207 (13.5)
serrano202 amypro1 207 (15.0)
serrano203 amypro1 207 (12.0)
serrano204 amypro1 207 (12.0)
serrano205 amypro1 207 (8.0)
serrano206 amypro1 207 (9.0)
serrano207 amypro1 207 (14.0)
serrano208 amypro1 207 (11.0)
serrano209 amypro1 207 (10.0)
serrano210 amypro1 207 (6.0)
serrano211 amypro1 207 (14.0)
serrano212 amypro1 207 (7.0)
serrano213 amypro1 207 (8.0)
serrano214 amypro1 207 (11.0)
serrano215 amypro1 207 (11.0)
serrano216 amypro1 207 (15.0)
serrano217 amypro1 207 (7.0)
serrano218 amypro1 207 (13.0)
serrano219 amypro1 212 (6.0)
serrano220 amypro1 207 (4.0)
serrano221 amypro1 207 (16.0)
serrano222 amypro1 207 (19.0)
serrano223 amypro1 207 (13.0)
serrano224 amypro1 209 (8.0)
serrano225 amypro1 207 (6.0)
serrano226 amypro1 207 (17.0)
serrano227 amypro1 207 (12.0)
serrano228 amypro1 207 (13.0)
serrano229 amypro1 214 (6.0)
serrano230 amypro1 207 (14.0)
serrano231 amypro1 207 (11.0)
serrano232 amypro1 207 (11.5)
serrano233 amypro1 207 (13.0)
serrano234 amypro1 207 (13.0)
serrano235 amypro1 208 (8.0)
serrano236 amypro1 207 (8.0)
serrano237 amypro1 215 (11.0)
serrano238 amypro1 207 (14.0)
serrano239 amypro1 207 (12.0)
serrano240 amypro1 207 (11.0)
serrano241 amypro1 207 (10.0)
serrano242 amypro1 207 (12.0)
serrano243 amypro1 212 (12.0)
serrano244 amypro1 207 (20.0)
serrano245 amypro1 207 (11.0)
serrano246 amypro1 207 (10.0)
serrano247 amypro1 207 (20.0)
serrano0 amypro2 113 (9.0)
serrano1 amypro2 104 (14.0)
serrano2 amypro2 104 (18.0)
serrano3 amypro2 113 (9.0)
serrano4 amypro2 129 (9.0)
serrano5 amypro2 131 (8.0)
serrano6 amypro2 104 (16.0)
serrano7 amypro2 114 (9.0)
serrano8 amypro2 115 (10.5)
serrano9 amypro2 104 (7.0)
serrano10 amypro2 107 (10.5)
serrano11 amypro2 104 (13.0)
serrano12 amypro2 105 (7.0)
serrano13 amypro2 104 (8.0)
serrano14 amypro2 104 (11.5)
serrano15 amypro2 110 (14.0)
serrano16 amypro2 104 (6.0)
serrano17 amypro2 104 (5.0)
serrano18 amypro2 104 (5.0)
serrano19 amypro2 104 (13.5)
serrano20 amypro2 104 (13.0)
serrano21 amypro2 112 (7.5)
serrano22 amypro2 114 (7.0)
serrano23 amypro2 113 (7.0)
serrano24 amypro2 104 (10.0)
serrano25 amypro2 110 (3.0)
serrano26 amypro2 104 (9.5)
serrano27 amypro2 104 (9.0)
serrano28 amypro2 104 (8.5)
serrano29 amypro2 110 (4.0)
serrano30 amypro2 104 (8.0)
serrano31 amypro2 104 (6.0)
serrano32 amypro2 111 (3.0)
serrano33 amypro2 107 (4.0)
serrano34 amypro2 104 (7.0)
serrano35 amypro2 104 (4.0)
serrano36 amypro2 104 (8.5)
serrano37 amypro2 104 (4.0)
serrano38 amypro2 105 (8.0)
serrano39 amypro2 106 (9.0)
serrano40 amypro2 107 (6.0)
serrano41 amypro2 106 (10.5)
serrano42 amypro2 106 (6.5)
serrano43 amypro2 104 (6.0)
serrano44 amypro2 120 (7.0)
serrano45 amypro2 107 (8.0)
serrano46 amypro2 108 (12.0)
serrano47 amypro2 117 (10.0)
serrano48 amypro2 108 (10.5)
serrano49 amypro2 104 (5.0)
serrano50 amypro2 108 (6.5)
serrano51 amypro2 104 (7.0)
serrano52 amypro2 106 (10.5)
serrano53 amypro2 104 (5.0)
serrano54 amypro2 104 (8.0)
serrano55 amypro2 109 (10.0)
serrano56 amypro2 104 (4.0)
serrano57 amypro2 109 (11.0)
serrano58 amypro2 104 (12.0)
serrano59 amypro2 104 (11.5)
serrano60 amypro2 110 (15.5)
serrano61 amypro2 104 (10.0)
serrano62 amypro2 106 (10.0)
serrano63 amypro2 113 (9.0)
serrano64 amypro2 105 (7.0)
serrano65 amypro2 105 (13.0)
serrano66 amypro2 109 (15.0)
serrano67 amypro2 104 (12.0)
serrano68 amypro2 115 (4.0)
serrano69 amypro2 118 (7.0)
serrano70 amypro2 119 (7.0)
serrano71 amypro2 110 (4.0)
serrano72 amypro2 104 (9.5)
serrano73 amypro2 105 (8.5)
serrano74 amypro2 107 (13.5)
serrano75 amypro2 115 (10.0)
serrano76 amypro2 104 (7.0)
serrano77 amypro2 111 (11.0)
serrano78 amypro2 104 (8.0)
serrano79 amypro2 104 (12.0)
serrano80 amypro2 104 (15.0)
serrano81 amypro2 105 (5.5)
serrano82 amypro2 104 (6.0)
serrano83 amypro2 116 (15.5)
serrano84 amypro2 108 (13.0)
serrano85 amypro2 112 (15.0)
serrano86 amypro2 104 (10.0)
serrano87 amypro2 104 (11.5)
serrano88 amypro2 104 (14.0)
serrano89 amypro2 113 (10.0)
serrano90 amypro2 105 (6.0)
serrano91 amypro2 104 (11.0)
serrano92 amypro2 104 (12.0)
serrano93 amypro2 104 (6.0)
serrano94 amypro2 104 (11.0)
serrano95 amypro2 109 (9.0)
serrano96 amypro2 104 (10.0)
serrano97 amypro2 105 (9.5)
serrano98 amypro2 104 (6.0)
serrano99 amypro2 108 (10.0)
serrano100 amypro2 105 (6.0)
serrano101 amypro2 104 (11.0)
serrano102 amypro2 104 (6.0)
serrano103 amypro2 104 (10.0)
serrano104 amypro2 104 (13.0)
serrano105 amypro2 104 (12.0)
serrano106 amypro2 106 (13.0)
serrano107 amypro2 117 (13.0)
serrano108 amypro2 104 (10.0)
serrano109 amypro2 104 (13.0)
serrano110 amypro2 104 (11.0)
serrano111 amypro2 108 (9.0)
serrano112 amypro2 107 (11.0)
serrano113 amypro2 104 (10.0)
serrano114 amypro2 106 (12.0)
serrano115 amypro2 105 (10.0)
serrano116 amypro2 104 (18.0)
serrano117 amypro2 104 (4.0)
serrano118 amypro2 104 (7.0)
serrano119 amypro2 109 (11.0)
serrano120 amypro2 104 (9.0)
serrano121 amypro2 104 (10.0)
serrano122 amypro2 104 (18.0)
serrano123 amypro2 104 (12.5)
serrano124 amypro2 104 (14.0)
serrano125 amypro2 104 (9.0)
serrano126 amypro2 113 (2.0)
serrano127 amypro2 104 (7.5)
serrano128 amypro2 104 (8.0)
serrano129 amypro2 104 (8.0)
serrano130 amypro2 104 (14.0)
serrano131 amypro2 105 (9.0)
serrano132 amypro2 104 (17.0)
serrano133 amypro2 114 (8.5)
serrano134 amypro2 104 (6.0)
serrano135 amypro2 107 (10.0)
serrano136 amypro2 120 (6.0)
serrano137 amypro2 104 (14.0)
serrano138 amypro2 105 (8.0)
serrano139 amypro2 104 (23.0)
serrano140 amypro2 104 (17.0)
serrano141 amypro2 107 (14.5)
serrano142 amypro2 107 (14.5)
serrano143 amypro2 104 (10.0)
serrano144 amypro2 104 (8.0)
serrano145 amypro2 111 (12.0)
serrano146 amypro2 111 (14.0)
serrano147 amypro2 104 (17.0)
serrano148 amypro2 104 (11.0)
serrano149 amypro2 106 (16.5)
serrano150 amypro2 117 (6.0)
serrano151 amypro2 109 (4.0)
serrano152 amypro2 104 (9.5)
serrano153 amypro2 113 (11.0)
serrano154 amypro2 104 (6.0)
serrano155 amypro2 104 (9.0)
serrano156 amypro2 104 (19.0)
serrano157 amypro2 113 (9.0)
serrano158 amypro2 104 (10.5)
serrano159 amypro2 111 (7.0)
serrano160 amypro2 104 (12.5)
serrano161 amypro2 114 (16.0)
serrano162 amypro2 104 (27.0)
serrano163 amypro2 110 (6.5)
serrano164 amypro2 104 (19.0)
serrano165 amypro2 104 (18.5)
serrano166 amypro2 116 (8.0)
serrano167 amypro2 104 (17.0)
serrano168 amypro2 104 (17.0)
serrano169 amypro2 104 (11.5)
serrano170 amypro2 104 (8.5)
serrano171 amypro2 113 (6.0)
serrano172 amypro2 105 (13.0)
serrano173 amypro2 113 (10.5)
serrano174 amypro2 104 (7.0)
serrano175 amypro2 104 (15.0)
serrano176 amypro2 110 (8.5)
serrano177 amypro2 104 (12.0)
serrano178 amypro2 104 (17.0)
serrano179 amypro2 104 (7.0)
serrano180 amypro2 104 (11.0)
serrano181 amypro2 104 (13.0)
serrano182 amypro2 104 (11.0)
serrano183 amypro2 104 (8.0)
serrano184 amypro2 104 (18.0)
serrano185 amypro2 104 (6.0)
serrano186 amypro2 107 (17.0)
serrano187 amypro2 104 (15.0)
serrano188 amypro2 104 (21.0)
serrano189 amypro2 106 (18.5)
serrano190 amypro2 104 (12.0)
serrano191 amypro2 104 (13.5)
serrano192 amypro2 104 (7.0)
serrano193 amypro2 113 (2.0)
serrano194 amypro2 104 (2.0)
serrano195 amypro2 104 (4.0)
serrano196 amypro2 104 (7.0)
serrano197 amypro2 104 (8.0)
serrano198 amypro2 104 (5.0)
serrano199 amypro2 104 (5.0)
serrano200 amypro2 113 (5.0)
serrano201 amypro2 111 (7.0)
serrano202 amypro2 104 (15.0)
serrano203 amypro2 113 (7.0)
serrano204 amypro2 104 (2.0)
serrano205 amypro2 112 (1.0)
serrano206 amypro2 107 (15.0)
serrano207 amypro2 106 (9.5)
serrano208 amypro2 104 (7.0)
serrano209 amypro2 104 (12.0)
serrano210 amypro2 104 (13.0)
serrano211 amypro2 104 (15.0)
serrano212 amypro2 104 (10.0)
serrano213 amypro2 104 (8.0)
serrano214 amypro2 104 (12.0)
serrano215 amypro2 104 (19.0)
serrano216 amypro2 104 (12.0)
serrano217 amypro2 108 (5.5)
serrano218 amypro2 111 (7.0)
serrano219 amypro2 104 (16.0)
serrano220 amypro2 104 (11.0)
serrano221 amypro2 104 (14.0)
serrano222 amypro2 104 (6.0)
serrano223 amypro2 104 (8.5)
serrano224 amypro2 104 (23.0)
serrano225 amypro2 104 (14.0)
serrano226 amypro2 104 (9.0)
serrano227 amypro2 106 (16.5)
serrano228 amypro2 104 (13.0)
serrano229 amypro2 104 (10.0)
serrano230 amypro2 111 (8.0)
serrano231 amypro2 104 (17.0)
serrano232 amypro2 104 (7.0)
serrano233 amypro2 104 (17.0)
serrano234 amypro2 104 (13.0)
serrano235 amypro2 105 (7.0)
serrano236 amypro2 104 (11.0)
serrano237 amypro2 104 (9.0)
serrano238 amypro2 104 (10.0)
serrano239 amypro2 104 (8.0)
serrano240 amypro2 107 (9.0)
serrano241 amypro2 108 (8.0)
serrano242 amypro2 106 (4.0)
serrano243 amypro2 113 (7.0)
serrano244 amypro2 104 (12.0)
serrano245 amypro2 104 (6.0)
serrano246 amypro2 104 (7.0)
serrano247 amypro2 107 (5.0)
serrano0 amypro3 53 (12.0)
serrano1 amypro3 50 (6.0)
serrano2 amypro3 50 (5.0)
serrano3 amypro3 53 (13.0)
serrano4 amypro3 55 (12.5)
serrano5 amypro3 82 (9.0)
serrano6 amypro3 50 (16.5)
serrano7 amypro3 50 (10.0)
serrano8 amypro3 84 (10.5)
serrano9 amypro3 50 (3.0)
serrano10 amypro3 50 (12.0)
serrano11 amypro3 50 (4.0)
serrano12 amypro3 50 (8.0)
serrano13 amypro3 60 (10.5)
serrano14 amypro3 56 (8.0)
serrano15 amypro3 54 (12.0)
serrano16 amypro3 51 (17.0)
serrano17 amypro3 51 (11.0)
serrano18 amypro3 52 (13.5)
serrano19 amypro3 53 (11.0)
serrano20 amypro3 50 (11.5)
serrano21 amypro3 61 (18.5)
serrano22 amypro3 60 (6.5)
serrano23 amypro3 60 (6.5)
serrano24 amypro3 60 (6.5)
serrano25 amypro3 60 (6.5)
serrano26 amypro3 50 (3.0)
serrano27 amypro3 52 (7.0)
serrano28 amypro3 50 (3.0)
serrano29 amypro3 60 (6.5)
serrano30 amypro3 52 (5.0)
serrano31 amypro3 56 (1.0)
